ticker_ishares,place,ticker,nom_yahoo,statut
IMB,London Stock Exchange,IMB.L,Imperial Brands PLC,vérifié
BPE,Borsa Italiana,BPE.MI,BPER Banca SpA,vérifié
VIE,Nyse Euronext - Euronext Paris,VIE.PA,Veolia Environnement SA,vérifié
SHB A,Nasdaq Omx Nordic,SHB-A.ST,Svenska Handelsbanken AB (publ),vérifié
PKN,Warsaw Stock Exchange/Equities/Main Market,PKN.WA,Orlen S.A.,vérifié
NN,Euronext Amsterdam,NN.AS,NN Group N.V.,vérifié
BMW,Xetra,BMW.DE,Bayerische Motoren Werke Aktiengesellschaft,vérifié
ACA,Nyse Euronext - Euronext Paris,ACA.PA,Crédit Agricole S.A.,vérifié
HEIA,Euronext Amsterdam,HEIA.AS,Heineken N.V.,vérifié
NSIS B,Omx Nordic Exchange Copenhagen A/S,NSIS-B.CO,Novozymes A/S,vérifié
GEBN,SIX Swiss Exchange,GEBN.SW,Geberit AG,vérifié
IHG,London Stock Exchange,IHG.L,InterContinental Hotels Group PLC,vérifié
KNEBV,Nasdaq Omx Helsinki Ltd.,KNEBV.HE,KONE Oyj,vérifié
LDO,Borsa Italiana,LDO.MI,Leonardo S.p.a.,vérifié
LGEN,London Stock Exchange,LGEN.L,Legal & General Group Plc,vérifié
NXT,London Stock Exchange,NXT.L,NEXT plc,vérifié
ACS,Bolsa De Madrid,ACS.MC,"ACS, Actividades de Construcción y Servicios, S.A.",vérifié
CBK,Xetra,CBK.DE,Commerzbank AG,vérifié
FRE,Xetra,FRE.DE,Fresenius SE & Co. KGaA,vérifié
GMAB,Omx Nordic Exchange Copenhagen A/S,GMAB.CO,Genmab A/S,vérifié
MTX,Xetra,MTX.DE,MTU Aero Engines AG,vérifié
HEI,Xetra,HEI.DE,Heidelberg Materials AG,vérifié
BIRG,Irish Stock Exchange - All Market,BIRG.IR,Bank of Ireland Group plc,vérifié
SCMN,SIX Swiss Exchange,SCMN.SW,Swisscom AG,vérifié
SAB,Bolsa De Madrid,SAB.MC,"Banco de Sabadell, S.A.",vérifié
RYA,Irish Stock Exchange - All Market,RYA.IR,Ryanair Holdings plc,vérifié
AENA,Bolsa De Madrid,AENA.MC,"Aena S.M.E., S.A.",vérifié
CAP,Nyse Euronext - Euronext Paris,CAP.PA,Capgemini SE,vérifié
BAMI,Borsa Italiana,BAMI.MI,Banco BPM S.p.A.,vérifié
HEXA B,Nasdaq Omx Nordic,HEXA-B.ST,Hexagon AB (publ),vérifié
HBAN,SIX Swiss Exchange,HBAN.SW,Helvetia Baloise Holding AG,vérifié
SAAB B,Nasdaq Omx Nordic,SAAB-B.ST,Saab AB (publ),vérifié
PHIA,Euronext Amsterdam,PHIA.AS,Koninklijke Philips N.V.,vérifié
MRK,Xetra,MRK.DE,Merck KGaA,vérifié
SGSN,SIX Swiss Exchange,SGSN.SW,SGS SA,vérifié
VACN,SIX Swiss Exchange,VACN.SW,VAT Group AG,vérifié
KER,Nyse Euronext - Euronext Paris,KER.PA,Kering SA,vérifié
UMG,Euronext Amsterdam,UMG.AS,Universal Music Group N.V.,vérifié
ANTO,London Stock Exchange,ANTO.L,Antofagasta plc,vérifié
VOW3,Xetra,VOW3.DE,Volkswagen AG,vérifié
KPN,Euronext Amsterdam,KPN.AS,Koninklijke KPN N.V.,vérifié
WKL,Euronext Amsterdam,WKL.AS,Wolters Kluwer N.V.,vérifié
BAER,SIX Swiss Exchange,BAER.SW,Julius Bär Gruppe AG,vérifié
DSFIR,Euronext Amsterdam,DSFIR.AS,DSM-Firmenich AG,vérifié
DSY,Nyse Euronext - Euronext Paris,DSY.PA,Dassault Systèmes SE,vérifié
BT.A,London Stock Exchange,BT-A.L,BT Group plc,vérifié
HLMA,London Stock Exchange,HLMA.L,Halma plc,vérifié
HNR1,Xetra,HNR1.DE,Hannover Rück SE,vérifié
PGHN,SIX Swiss Exchange,PGHN.SW,Partners Group Holding AG,vérifié
KRX,Irish Stock Exchange - All Market,KRX.IR,Kingspan Group plc,vérifié
EPI A,Nasdaq Omx Nordic,EPI-A.ST,Epiroc AB (publ),vérifié
SHL,Xetra,SHL.DE,Siemens Healthineers AG,vérifié
NESTE,Nasdaq Omx Helsinki Ltd.,NESTE.HE,Neste Oyj,vérifié
EDP,Nyse Euronext - Euronext Lisbon,EDP.LS,"EDP, S.A.",vérifié
FBK,Borsa Italiana,FBK.MI,FinecoBank Banca Fineco S.p.A.,vérifié
ALFA,Nasdaq Omx Nordic,ALFA.ST,Alfa Laval AB (publ),vérifié
TEF,Bolsa De Madrid,TEF.MC,"Telefónica, S.A.",vérifié
ELE,Bolsa De Madrid,ELE.MC,"Endesa, S.A.",vérifié
SGRO,London Stock Exchange,SGRO.L,SEGRO Plc,vérifié
BG,Wiener Boerse Ag,BG.VI,BAWAG Group AG,vérifié
UPM,Nasdaq Omx Helsinki Ltd.,UPM.HE,UPM-Kymmene Oyj,vérifié
INF,London Stock Exchange,INF.L,Informa plc,vérifié
WRT1V,Nasdaq Omx Helsinki Ltd.,WRT1V.HE,Wärtsilä Oyj Abp,vérifié
VNA,Xetra,VNA.DE,Vonovia SE,vérifié
